title,price,location,date,size,price_pm,negotiable
2 pok z oddzielną kuchnią i tarasem,685000,Warszawa Białołęka , 26 stycznia 2024,51 , 13431.37 ,False
Mieszkanie inwestycyjne Kawalerka 2-pak Śródmieście 7.4%,399000,Warszawa Śródmieście , 26 stycznia 2024,18 , 22166.67 ,False
Mieszkanie 64m2 Meander 2 min. do metra natolin sprzedaż bez pośrednik,965000,Warszawa Ursynów , 26 stycznia 2024,64 , 15078.13 ,False
Bezpośrednio mieszkanie na Bemowie 46 m2,690000,Warszawa Bemowo , 26 stycznia 2024,46 , 15000 ,False
Bespośrednio Mieszkanie 2-pok Skorosze Ursus ogródek garaż,819200,Warszawa Ursus , 27 stycznia 2024,51.20 , 16000 ,False
Super Widoki- 3 pokoje Ostatnie pietro Śródmieście PN,1360000,Warszawa Śródmieście , 21 stycznia 2024,57 , 23859.65 ,True
Przestronne 3 pok. Praga płd. Warszawa Mazowieckie,947000,Warszawa Praga Południe ,Dzisiaj,73.40 , 12901.91 ,False
Okazałe3 pokojowe mieszkanie w świetnej lokalizacj,878400,Warszawa Praga Południe , 26 stycznia 2024,60.27 , 14574.42 ,False
Atrakcyjny apartament 4 pokojowy na Mokotowie,1750000,Warszawa Mokotów , 26 stycznia 2024,98 , 17857.14 ,False
Wilanów  3 pok. 6649 m  piętro 4  garaż,1299000,Warszawa Wilanów , 26 stycznia 2024,66.49 , 19536.77 ,False
Komfortowe 3 pokoje 568 m2 Mozarta Służew nad Dolinką,939000,Warszawa Mokotów , 26 stycznia 2024,56.80 , 16531.69 ,True
Mieszkanie 48m2 Warszawa Śródmieście Muranów,720000,Warszawa Śródmieście , 26 stycznia 2024,48 , 15000 ,False
Klimatyczne Mieszkanie 65 M2 Warszawa Włochy,895000,Warszawa Włochy , 26 stycznia 2024,65 , 13769.23 ,False
WYJĄTKOWE - ECO Berensona - Bezpośrednio,465908,Warszawa Białołęka , 26 stycznia 2024,34.64 , 13450 ,False
Atrakcyjne mieszkanie 2 miejsca parkingowe komórka,1050000,Warszawa Wola , 26 stycznia 2024,56 , 18750 ,False
Sprzedam prywatnie mieszkanie Mokotów - Smoluchowskiego.,932925,Warszawa Mokotów , 26 stycznia 2024,53.31 , 17500 ,True
2 pokojowe Powiśle Śródmieście nowe,1450000,Warszawa Śródmieście , 26 stycznia 2024,43 , 33720.93 ,False
Sprzedam mieszkanie z ogrodem Saska Kępa - Gocław,1252900,Warszawa Praga Południe , 27 stycznia 2024,67 , 18700 ,True
Bezpośrednio - Studio w pełni wyposażone - garaż - ASzWoj,580000,Warszawa Rembertów , 26 stycznia 2024,30.50 , 19016.39 ,True
2 pokoje | świeżo po remoncie | Metro Młociny,799700,Warszawa Bielany ,Dzisiaj,47 , 17014.89 ,False
LOFT GARDEN Wesoła ETAP II 53-97m2 apart. OGRÓDEK,1149500,Warszawa Wesoła , 22 stycznia 2024,97.63 , 11774.04 ,False
LOFT GARDEN Wesoła-ETAPIII-55m2-apart. z ogródkiem,732500,Warszawa Wesoła , 22 stycznia 2024,55.70 , 13150.81 ,False
LOFT GARDEN Wesoła ETAP II 53-99m2 - apart. LOFT,1149400,Warszawa Wesoła , 22 stycznia 2024,99.78 , 11519.34 ,False
Loft Garden Wesoła - ETAP II,1149500,Warszawa Wesoła , 22 stycznia 2024,97.63 , 11774.04 ,False
Bez pośrednika ostatnie piętro balkon i taras,2580000,Warszawa Wola , 22 stycznia 2024,92 , 28043.48 ,False
2 pokoje 41 m2 ul. Aluzyjna bez Pcc wykończone,656000,Warszawa Białołęka , 22 stycznia 2024,41.13 , 15949.43 ,False
Warszawa-Mokotów-36m2-Żywnego,550000,Warszawa Mokotów , 22 stycznia 2024,36.30 , 15151.52 ,False
3 pok. | metro Ratusz Arsenał | piwnica + parking,1160000,Warszawa Śródmieście , 22 stycznia 2024,63 , 18412.7 ,False
Sprzedam mieszkanie,680000,Warszawa Ochota , 22 stycznia 2024,26.60 , 25563.91 ,True
2 pokoje SKM PKP PRAGA 100m,444825,Warszawa Targówek , 22 stycznia 2024,32.95 , 13500 ,False
METRO M2 Bemowo nowa kawalerka - autobus tramwaj,669000,Warszawa Bemowo ,Dzisiaj,27.70 , 24151.62 ,False
Mieszkanie 64m2 Meander 2 min. do metra natolin sprzedaż bez pośrednik,965000,Warszawa Ursynów , 26 stycznia 2024,64 , 15078.13 ,False
Przestronne 3 pok. Praga płd. Warszawa Mazowieckie,947000,Warszawa Praga Południe ,Dzisiaj,73.40 , 12901.91 ,False
Apartament 4-pok. 5 minut pieszo do stacji Metra,1684500,Warszawa Bielany , 22 stycznia 2024,80.21 , 21001.12 ,False
3 pokojowe * Parking * Dwustronne * Balkon * Ciche,889000,Warszawa Ursynów , 22 stycznia 2024,58.50 , 15196.58 ,False
Kawalerka w Cichym Miejscu - Do Metra - 500m,527000,Warszawa Wola , 22 stycznia 2024,29.30 , 17986.35 ,False
Gołąbki dwupoziomowe osiedle Gawra Wysoki standard,1353600,Warszawa Ursus , 22 stycznia 2024,112.80 , 12000 ,False
mieszkanie luksusowy apartament 66m' Browary Warszawskie,3150000,Warszawa Śródmieście , 22 stycznia 2024,66 , 47727.27 ,False
Mieszkanie do wejścia 48 m2 ogródek Włochy,1075000,Warszawa Włochy , 22 stycznia 2024,47.53 , 22617.29 ,False
Apartament w kamienicy 1937,3000000,Warszawa Mokotów , 22 stycznia 2024,103.65 , 28943.56 ,False
Bez pośrednika Komfortowe do zamieszkania,2180000,Warszawa Wola , 22 stycznia 2024,117 , 18632.48 ,False
Bez Prowizji | 3 pokoje | bez Pcc |wykończenia pod,1150000,Warszawa Białołęka , 22 stycznia 2024,85 , 13529.41 ,False
4 Pokoje | Zacisznie | Przestronne i klimatyczne,1050000,Warszawa Włochy , 22 stycznia 2024,83 , 12650.6 ,False
Przestronne M3 na Targówku!!!,790000,Warszawa Targówek , 26 stycznia 2024,60 , 13166.67 ,False
